Property Type,Address,Region,Rent,Total Rent,Area,Rooms,Bathrooms,Garage,Furnished
Apartamento,Rua Riachuelo,Centro,1.107,1.465,35,1,1,0.0,0
Casa,Rua Amandiu,Irajá,810.0,894.0,50,1,1,0.0,0
Apartamento,Rua Sá Ferreira,Copacabana,2.246,2.935,50,1,1,0.0,1
Casa em condomínio,Rua Aquidabã,Méier,1.5,1.968,72,3,2,1.0,0
Apartamento,Rua São Francisco Xavier,Maracanã,1.5,2.467,91,3,1,1.0,0
Apartamento,Rua André Azevedo,Olaria,1.377,1.43,60,3,1,0.0,0
Apartamento,Rua Saint Roman,Copacabana,2.1,2.82,52,1,1,0.0,1
Apartamento,Rua Conde de Bonfim,Tijuca,2.2,3.512,95,2,2,0.0,0
Casa,Rua General Severiano,Botafogo,3.0,3.595,60,2,1,0.0,1
Casa,Rua Tessália,Vila da Penha,1.15,1.17,27,1,1,1.0,0
Apartamento,Rua Senador Vergueiro,Flamengo,3.3,4.385,90,2,2,0.0,0
Apartamento,Rua Professor Gabizo,Maracanã,2.5,3.231,70,3,2,0.0,0
Apartamento,Avenida Guilherme Maxwell,Bonsucesso,1.302,1.854,46,2,1,1.0,0
Apartamento,Estrada dos Bandeirantes,Jacarepaguá,1.3,1.433,55,2,1,1.0,0
Apartamento,Av Gastão Senges,Barra da Tijuca,2.5,6.245,65,2,2,0.0,1
Apartamento,Rua Laranjeiras,Laranjeiras,2.85,3.852,90,3,3,0.0,0
Apartamento,Rua Barão do Bom Retiro,Engenho Novo,880.0,1.264,60,1,1,0.0,0
Apartamento,Rua Miguel Fernandes,Méier,843.0,1.342,85,2,1,0.0,0
Apartamento,Estrada do Gabinal,Freguesia (jacarepaguá),885.0,1.613,51,2,1,1.0,0
Apartamento,Praça Avaí,Cachambi,1.122,1.666,50,3,1,0.0,0
Apartamento,Rua Barão de Mesquita,Andaraí,1.5,2.313,69,2,1,1.0,0
Apartamento,Estrada dos Bandeirantes,Jacarepaguá,1.48,2.223,50,2,1,0.0,0
Apartamento,Av Guilherme Maxwel,Bonsucesso,1.3,1.897,48,2,1,1.0,0
Apartamento,Rua do Tijolo,Piedade,701.0,1.106,50,2,1,1.0,0
Apartamento,Rua São Francisco Xavier,Maracanã,950.0,1.704,90,2,1,1.0,0
Apartamento,Avenida Prado Júnior,Copacabana,2.5,3.257,35,1,1,0.0,0
Apartamento,Rua Teodoro da Silva,Vila Isabel,1.5,2.554,60,2,2,1.0,0
Apartamento,Estrada do Engenho D’água,Anil,1.509,2.053,44,2,1,1.0,0
Apartamento,Rua Santa Clara,Copacabana,2.7,3.498,50,2,2,0.0,0
