Property Type,Address,Region,Rent,Total Rent,Area,Rooms,Bathrooms,Garage,Furnished
Apartamento,Rua André Rocha,Taquara,1000,1477,42,2,1,1.0,0
Apartamento,Travessa Caruaru,Grajaú,1600,2081,71,2,1,0.0,0
Casa,Rua Guaiba,Brás de Pina,1000,1050,70,2,1,0.0,0
Apartamento,Estrada Paulo de Medeiros,Água Santa,780,1071,44,2,1,0.0,0
Apartamento,Rua Conselheiro Paranaguá,Vila Isabel,1510,1715,55,2,1,0.0,0
Apartamento,Avenida Tenente-coronel Muniz de Aragão,Anil,1349,1821,49,2,1,1.0,0
Apartamento,Rua Senador Vergueiro,Flamengo,3600,4679,83,2,2,0.0,0
Apartamento,Praça Vereador Rocha Leão,Copacabana,1800,2706,44,1,1,0.0,0
Apartamento,Rua Fernão Cardim,Cachambi,1400,2048,49,2,1,1.0,0
Apartamento,Rua Aquidabã,Méier,990,1318,60,1,1,1.0,0
Casa em condomínio,Rua do Couto,Penha,1162,1572,56,2,1,1.0,0
Apartamento,Rua Riachuelo,Centro,1107,1465,35,1,1,0.0,0
Casa,Rua Amandiu,Irajá,810,894,50,1,1,0.0,0
Apartamento,Rua Sá Ferreira,Copacabana,2246,2935,50,1,1,0.0,1
Casa em condomínio,Rua Aquidabã,Méier,1500,1968,72,3,2,1.0,0
Apartamento,Rua São Francisco Xavier,Maracanã,1500,2467,91,3,1,1.0,0
Apartamento,Rua André Azevedo,Olaria,1377,1430,60,3,1,0.0,0
Apartamento,Rua Saint Roman,Copacabana,2100,2820,52,1,1,0.0,1
Apartamento,Rua Conde de Bonfim,Tijuca,2200,3512,95,2,2,0.0,0
Casa,Rua General Severiano,Botafogo,3000,3595,60,2,1,0.0,1
Casa,Rua Tessália,Vila da Penha,1150,1170,27,1,1,1.0,0
Apartamento,Rua Senador Vergueiro,Flamengo,3300,4385,90,2,2,0.0,0
Apartamento,Rua Professor Gabizo,Maracanã,2500,3231,70,3,2,0.0,0
Apartamento,Avenida Guilherme Maxwell,Bonsucesso,1302,1854,46,2,1,1.0,0
Apartamento,Estrada dos Bandeirantes,Jacarepaguá,1300,1433,55,2,1,1.0,0
Apartamento,Av Gastão Senges,Barra da Tijuca,2500,6245,65,2,2,0.0,1
Apartamento,Rua Laranjeiras,Laranjeiras,2850,3852,90,3,3,0.0,0
Apartamento,Rua Barão do Bom Retiro,Engenho Novo,880,1264,60,1,1,0.0,0
Apartamento,Rua Miguel Fernandes,Méier,843,1342,85,2,1,0.0,0
Apartamento,Estrada do Gabinal,Freguesia (jacarepaguá),885,1613,51,2,1,1.0,0
Apartamento,Praça Avaí,Cachambi,1122,1666,50,3,1,0.0,0
Apartamento,Rua Barão de Mesquita,Andaraí,1500,2313,69,2,1,1.0,0
Apartamento,Estrada dos Bandeirantes,Jacarepaguá,1480,2223,50,2,1,0.0,0
Apartamento,Av Guilherme Maxwel,Bonsucesso,1300,1897,48,2,1,1.0,0
Apartamento,Rua do Tijolo,Piedade,701,1106,50,2,1,1.0,0
Apartamento,Rua São Francisco Xavier,Maracanã,950,1704,90,2,1,1.0,0
Apartamento,Avenida Prado Júnior,Copacabana,2500,3257,35,1,1,0.0,0
Apartamento,Rua Teodoro da Silva,Vila Isabel,1500,2554,60,2,2,1.0,0
Apartamento,Estrada do Engenho D’água,Anil,1509,2053,44,2,1,1.0,0
Apartamento,Rua Santa Clara,Copacabana,2700,3498,50,2,2,0.0,0
